Family,Condition,N,Accuracy (Mean),Accuracy (Std),F1 (Mean),Exact Match Rate,Parse Rate,Pass Rate,Semantic Equiv Rate
1_selection_classification,ASCII_DSL,50,0.885,0.307,0.891,0.860,1.000,0.860,0.000
1_selection_classification,CTRL,100,0.137,0.315,0.151,0.100,1.000,0.100,0.000
1_selection_classification,CTRL_RANDOM,50,0.587,0.483,0.596,0.560,1.000,0.560,0.000
1_selection_classification,MG,100,0.454,0.496,0.456,0.440,1.000,0.440,0.350
1_selection_classification,NL,100,0.489,0.501,0.479,0.480,1.000,0.480,0.350
1_selection_classification,NL_SHORT,50,0.944,0.217,0.949,0.920,1.000,0.920,0.000
2_structured_extraction,ASCII_DSL,50,0.925,0.145,0.925,0.500,1.000,0.500,0.000
2_structured_extraction,CTRL,100,0.450,0.471,0.450,0.260,1.000,0.260,0.000
2_structured_extraction,CTRL_RANDOM,50,0.930,0.134,0.930,0.520,1.000,0.520,0.000
2_structured_extraction,MG,100,0.465,0.478,0.465,0.260,1.000,0.260,0.190
2_structured_extraction,NL,100,0.463,0.476,0.463,0.260,1.000,0.260,0.190
2_structured_extraction,NL_SHORT,50,0.920,0.147,0.920,0.520,1.000,0.520,0.000
3_constraint_composition,ASCII_DSL,50,0.639,0.306,0.735,0.340,1.000,0.340,0.000
3_constraint_composition,CTRL,100,0.192,0.255,0.258,0.020,1.000,0.020,0.000
3_constraint_composition,CTRL_RANDOM,50,0.332,0.220,0.460,0.020,1.000,0.020,0.000
3_constraint_composition,MG,100,0.334,0.400,0.369,0.190,1.000,0.190,0.220
3_constraint_composition,NL,100,0.387,0.427,0.413,0.190,1.000,0.190,0.220
3_constraint_composition,NL_SHORT,50,0.757,0.253,0.817,0.440,1.000,0.440,0.000
4_conditional_transformation,ASCII_DSL,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,CTRL,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,CTRL_RANDOM,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,MG,100,0.000,0.000,0.000,0.000,1.000,0.000,0.080
4_conditional_transformation,NL,100,0.000,0.000,0.000,0.000,1.000,0.000,0.080
4_conditional_transformation,NL_SHORT,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
