Model,Family,NL Instruction Tokens,MG Instruction Tokens,CTRL Instruction Tokens,NL Total Tokens,MG Total Tokens,CTRL Total Tokens,Instruction Reduction vs NL,Full Prompt Reduction vs NL
llama-3.2-3b,3_constraint_composition,65.7,31.0,31.0,651.7,617.0,617.0,52.8%,5.3%
llama-3.2-3b,1_selection_classification,70.6,19.0,19.0,931.9,880.4,880.4,73.0%,5.5%
llama-3.2-3b,2_structured_extraction,80.8,33.8,33.8,572.6,525.6,525.6,58.2%,8.2%
llama-3.2-3b,4_conditional_transformation,113.0,66.0,66.0,541.2,494.2,494.2,41.6%,8.7%
qwen3-4b,3_constraint_composition,65.7,31.0,31.0,651.7,617.0,617.0,52.8%,5.3%
qwen3-4b,1_selection_classification,70.6,19.0,19.0,931.9,880.4,880.4,73.0%,5.5%
qwen3-4b,2_structured_extraction,80.8,33.8,33.8,572.6,525.6,525.6,58.2%,8.2%
qwen3-4b,4_conditional_transformation,113.0,66.0,66.0,541.2,494.2,494.2,41.6%,8.7%
gemma-3-12b,3_constraint_composition,65.7,31.0,31.0,651.7,617.0,617.0,52.8%,5.3%
gemma-3-12b,1_selection_classification,70.6,19.0,19.0,931.9,880.4,880.4,73.0%,5.5%
gemma-3-12b,2_structured_extraction,80.8,33.8,33.8,572.6,525.6,525.6,58.2%,8.2%
gemma-3-12b,4_conditional_transformation,113.0,66.0,66.0,541.2,494.2,494.2,41.6%,8.7%
olmo-3.1-32b-instruct,3_constraint_composition,65.7,31.0,31.0,651.7,617.0,617.0,52.8%,5.3%
olmo-3.1-32b-instruct,1_selection_classification,70.6,19.0,19.0,931.9,880.4,880.4,73.0%,5.5%
olmo-3.1-32b-instruct,2_structured_extraction,80.8,33.8,33.8,572.6,525.6,525.6,58.2%,8.2%
olmo-3.1-32b-instruct,4_conditional_transformation,113.0,66.0,66.0,541.2,494.2,494.2,41.6%,8.7%
llama-4-maverick,3_constraint_composition,65.7,31.0,31.0,651.7,617.0,617.0,52.8%,5.3%
llama-4-maverick,1_selection_classification,70.6,19.0,19.0,931.9,880.4,880.4,73.0%,5.5%
llama-4-maverick,2_structured_extraction,80.8,33.8,33.8,572.6,525.6,525.6,58.2%,8.2%
llama-4-maverick,4_conditional_transformation,113.0,66.0,66.0,541.2,494.2,494.2,41.6%,8.7%
gemini-3.1-flash-lite,3_constraint_composition,65.7,31.0,31.0,651.7,617.0,617.0,52.8%,5.3%
gemini-3.1-flash-lite,1_selection_classification,70.6,19.0,19.0,931.9,880.4,880.4,73.0%,5.5%
gemini-3.1-flash-lite,2_structured_extraction,80.8,33.8,33.8,572.6,525.6,525.6,58.2%,8.2%
gemini-3.1-flash-lite,4_conditional_transformation,113.0,66.0,66.0,541.2,494.2,494.2,41.6%,8.7%
claude-haiku-4.5,3_constraint_composition,65.7,31.0,31.0,651.7,617.0,617.0,52.8%,5.3%
claude-haiku-4.5,1_selection_classification,70.6,19.0,19.0,931.9,880.4,880.4,73.0%,5.5%
claude-haiku-4.5,2_structured_extraction,80.8,33.8,33.8,572.6,525.6,525.6,58.2%,8.2%
claude-haiku-4.5,4_conditional_transformation,113.0,66.0,66.0,541.2,494.2,494.2,41.6%,8.7%
gpt-5.2-chat,3_constraint_composition,65.7,31.0,31.0,651.7,617.0,617.0,52.8%,5.3%
gpt-5.2-chat,1_selection_classification,70.6,19.0,19.0,931.9,880.4,880.4,73.0%,5.5%
gpt-5.2-chat,2_structured_extraction,80.8,33.8,33.8,572.6,525.6,525.6,58.2%,8.2%
gpt-5.2-chat,4_conditional_transformation,113.0,66.0,66.0,541.2,494.2,494.2,41.6%,8.7%
